rlrange=50,sigma2=10
0,0,0,2.600820000003523e-05,5.6808400000136314e-05,0.007445691199998748,14.51,10.97,3.382
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.3820200000329807e-05,5.2103400000305555e-05,0.007013482999999781,13.216,9.176,3.346
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5001799999245123e-05,5.513979999898311e-05,0.005667361599999708,13.842,9.53,3.35
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.6298200000553606e-05,5.736179999991009e-05,0.007127130799999293,14.644,9.77,3.386
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5798599999575346e-05,5.92415999988134e-05,0.006489314799999477,13.832,9.014,3.294
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.6636799999550932e-05,5.852459999937309e-05,0.006648166600000422,14.866,9.616,3.372
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.6504000000727502e-05,5.865240000161975e-05,0.006459944399999927,14.562,9.194,3.342
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5748199999952704e-05,5.6047600000511013e-05,0.0066218802000004755,14.162,8.736,3.372
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.719780000057881e-05,6.018919999962691e-05,0.006831057799999939,14.036,8.702,3.36
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.515200000038931e-05,5.5478599999560174e-05,0.0067191903999990355,13.544,8.368,3.326
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.6012199999854603e-05,5.895299999951931e-05,0.00743268260000076,14.006,8.984,3.392
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.592539999898236e-05,5.8987999999203564e-05,0.005880475799999885,13.224,8.63,3.368
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.6534400000628012e-05,5.965640000397343e-05,0.005874720600000614,13.93,9.002,3.358
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.8687000001468733e-05,6.230000000050495e-05,0.006022325800000999,14.262,9.134,3.424
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5332399999115296e-05,5.812360000015815e-05,0.005897991400001388,13.88,9.208,3.376
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.460339999925054e-05,5.561079999915819e-05,0.005625276400001326,13.596,8.646,3.338
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5324999999611465e-05,5.7071199997722034e-05,0.006041891000001897,13.806,8.76,3.314
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.471360000185996e-05,4.602020000140783e-05,0.006008469200000832,14.332,14.332,3.286
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5609400000462303e-05,6.351100000085807e-05,0.006452426800000353,13.856,11.518,3.362
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.4660000002882044e-05,6.975160000342839e-05,0.005986953200000698,13.532,10.52,3.348
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.4887999998895794e-05,7.498579999878529e-05,0.006380023000001074,13.54,9.392,3.336
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5984799999264395e-05,7.951139999920542e-05,0.0063100971999989494,13.652,8.218,3.3
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.6892200002407664e-05,7.882760000256895e-05,0.005670041199999446,13.76,7.88,3.342
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.525059999879886e-05,7.858059999909983e-05,0.006019029399999681,13.906,8.278,3.392
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5645200001918055e-05,7.384860000195204e-05,0.0070512228000006874,13.488,6.41,3.338
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.528300000051331e-05,7.647159999839914e-05,0.006094603600000596,13.862,7.33,3.388
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.6696200000060343e-05,7.786260000170841e-05,0.006075295400001437,13.344,6.594,3.318
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.4343000000726535e-05,7.109740000009879e-05,0.0052474555999992845,13.828,6.4,3.35
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.635979999979554e-05,7.834059999743204e-05,0.0075447482000028,13.822,6.362,3.356
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.4154600000770188e-05,7.095839999999498e-05,0.0058895090000004304,13.42,6.256,3.322
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.3717799999872113e-05,7.087600000113526e-05,0.005822453200000837,12.568,6.458,3.358
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5821400000154427e-05,7.455579999998463e-05,0.005735280200000034,13.1,6.45,3.302
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.488440000126957e-05,7.60552000010648e-05,0.006018406799998843,14.124,6.632,3.264
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5046399999837378e-05,7.492619999936778e-05,0.006760487999999668,14.12,6.608,3.28
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.637420000007751e-05,7.869999999809351e-05,0.007080458999999792,14.24,7.08,3.358
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.672239999856174e-05,7.552700000030654e-05,0.00675046879999843,14.508,6.414,3.272
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.557360000105291e-05,7.562840000241523e-05,0.0060937296000001875,13.564,6.77,3.38
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.728080000031241e-05,8.008579999943776e-05,0.0057070798000008836,13.534,6.538,3.374
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.4578599997767013e-05,5.3870599996230336e-05,0.006379829799999357,13.612,13.612,3.394
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.6096199998391968e-05,8.103179999739041e-05,0.006176749799999812,13.988,11.12,3.362
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5260799999955453e-05,8.873139999855084e-05,0.005966829800000482,14.12,8.912,3.352
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.7012800001102732e-05,0.0001019058000010773,0.006200041600000645,13.572,8.072,3.386
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.588500000149452e-05,9.679180000136966e-05,0.006133428199999002,13.922,7.48,3.364
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.5631599999996978e-05,8.989940000117258e-05,0.0067990410000002156,13.836,5.658,3.314
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.3841999999490326e-05,8.71539999975539e-05,0.00563225180000154,13.154,5.606,3.304
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.758519999804321e-05,9.692359999803557e-05,0.00727101739999955,14.354,5.974,3.388
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.6738000002637817e-05,9.593080000206555e-05,0.007434428199999616,14.644,5.998,3.352
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.4402199998348806e-05,8.704059999786295e-05,0.006488244599999461,13.124,5.338,3.332
rlrange=50,sigma2=10
Scale,nR,nL,RSCT1,RSCT2,BFST1,RSCL1,RSCL2,BFSL
0,0,0,2.4899799998820525e-05,8.928200000013931e-05,0.006505967000000965,13.898,5.584,3.39
rlrange=50,sigma2=10
